1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년
110081,165321,187011,260831,266471,333797,473030,603734,877014,958362,1151602
107761,145324,172567,228641,248938,335037,423700,568936,725088,789087,1045233
125944,177079,201897,280328,307887,375917,499935,696985,914938,946039,1133549
163777,202183,268646,322296,372503,440248,536222,810698,1005679,1101672,1318526
146001,211599,264000,335674,380212,424893,559773,785528,949807,1088368,1262585
106283,152830,191151,236252,264479,323824,428630,587006,750470,861114,1107126
133430,169228,198627,257899,304690,309078,462061,630673,815638,863861,1066845
163998,195399,245584,280173,366471,392656,559395,829260,1017272,1139837,1327793
133817,157089,208474,228681,284582,360034,406166,719509,796320,927363,1080320
201907,224558,285515,300386,373654,480851,516851,858200,976027,1082278,1254509
199894,240796,291141,330699,387702,514878,587064,850826,1003108,1093742,1223528
164771,199418,249110,267733,348050,429105,570781,791397,1001942,1037981,1162630
