month,participant
1,71533
2,69841
3,94742
4,180045
5,291411
6,245124
7,152545
8,106985
9,277722
10,394063
11,335620
12,57280
1,227912
2,128081
3,84539
4,271794
5,258883
6,256325
7,189414
8,200808
9,196865
10,321629
11,347295
12,77004
1,109447
2,166173
3,186913
4,277417
5,247956
6,237816
7,199480
8,246400
9,350653
10,430242
11,319456
12,165907
1,150834
2,143631
3,221374
4,253757
5,232577
6,140259
7,127349
8,225253
9,234183
10,355925
11,369736
12,149558
1,257410
2,139280
3,255115
4,377574
5,377203
6,441643
7,222769
8,263372
9,340916
10,554950
11,507118
12,176644
